rn,SQLDATE,MonthYear,EventCode,SOURCEURL,IsRootEvent,Actor1Name,Actor1CountryCode,Actor2Name,Actor2CountryCode,NumMentions,NumSources,NumArticles
16109,20181012,201810,040,https://www.aise.it/iic/linfluenza-della-rete-nelle-relazioni-internazionali-federico-rampini-a-zurigo-con-liic/121818/157,1,JOURNALIST,,ITALY,ITA,6,1,6
16110,20181012,201810,040,https://www.aise.it/iic/linfluenza-della-rete-nelle-relazioni-internazionali-federico-rampini-a-zurigo-con-liic/121818/157,1,JOURNALIST,,EUROPE,EUR,24,1,24
16111,20181012,201810,040,https://www.aise.it/iic/linfluenza-della-rete-nelle-relazioni-internazionali-federico-rampini-a-zurigo-con-liic/121818/157,1,ITALY,ITA,JOURNALIST,,4,1,4
16112,20181012,201810,040,https://www.aise.it/iic/linfluenza-della-rete-nelle-relazioni-internazionali-federico-rampini-a-zurigo-con-liic/121818/157,1,EUROPE,EUR,JOURNALIST,,16,1,16
16113,20181012,201810,040,https://www.aise.it/iic/linfluenza-della-rete-nelle-relazioni-internazionali-federico-rampini-a-zurigo-con-liic/121818/157,1,ITALIAN,ITA,,,4,1,4
16114,20181012,201810,040,https://www.aise.it/notiziario-flash/linfluenza-della-rete-nelle-relazioni-internazionali-federico-rampini-a-zurigo-con-liic/121818/159,1,ITALY,ITA,JOURNALIST,,2,1,2
16115,20181012,201810,040,https://www.aise.it/notiziario-flash/linfluenza-della-rete-nelle-relazioni-internazionali-federico-rampini-a-zurigo-con-liic/121818/159,1,EUROPE,EUR,JOURNALIST,,8,1,8
16116,20181025,201810,040,https://www.nuovaresistenza.org/2018/10/leuroparlamento-indaga-sullinfluenza-di-casaleggio-sugli-eletti/,1,COMPANY,,,,10,1,10
16117,20181025,201810,040,https://www.nuovaresistenza.org/2018/10/leuroparlamento-indaga-sullinfluenza-di-casaleggio-sugli-eletti/,1,,,COMPANY,,10,1,10
16118,20181022,201810,040,https://www.quotidiano.net/blog/malpelo/arriva-linfluenza-perche-vaccinarsi-33.2799,1,CONGRESS,,MILAN,ITA,8,1,8
16119,20181022,201810,040,https://www.quotidiano.net/blog/malpelo/arriva-linfluenza-perche-vaccinarsi-33.2799,1,MILAN,ITA,CONGRESS,,8,1,8
16120,20181022,201810,040,https://www.quotidiano.net/blog/malpelo/arriva-linfluenza-perche-vaccinarsi-33.2799,1,MILAN,ITA,,,2,1,2
16121,20181022,201810,040,https://www.quotidiano.net/blog/malpelo/arriva-linfluenza-perche-vaccinarsi-33.2799,1,,,MILAN,ITA,2,1,2
